Date,Message,Status,Type
2025-03-23 22:57:52,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-23 22:58:09,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-23 23:00:03,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:05:43,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:13:41,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:16:48,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:17:29,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:20:35,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:21:15,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:14,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:29,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:26:47,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:27:38,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:28:17,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:30:42,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:06,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:30,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 11:00:33,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 11:01:21,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 11:07:50,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
2025-03-24 11:17:24,SAFE: Column 'location_description' contains NULL values,WARNING,VALIDATION
