Date,Message,Status,Type
2025-03-23 22:57:52,Reading input files,INFO,FILE
2025-03-23 22:57:52,Reading chicago.xlsx,INFO,FILE
2025-03-23 22:57:52,Read 1000 rows from chicago.xlsx,SUCCESS,FILE
2025-03-23 22:57:52,Validating chicago.xlsx-CHICAGO,INFO,FILE
2025-03-23 22:57:52,Validation successful for chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-23 22:57:52,Reading iris.xlsx,INFO,FILE
2025-03-23 22:57:52,Read 149 rows from iris.xlsx,SUCCESS,FILE
2025-03-23 22:57:52,Validating iris.xlsx-IRIS,INFO,FILE
2025-03-23 22:57:52,Validation successful for iris.xlsx-IRIS,SUCCESS,FILE
2025-03-23 22:57:52,Reading titanic.xlsx,INFO,FILE
2025-03-23 22:57:52,Read 891 rows from titanic.xlsx,SUCCESS,FILE
2025-03-23 22:57:52,Validating titanic.xlsx-TITANIC,INFO,FILE
2025-03-23 22:57:52,Error reading files: Unalignable boolean Series provided as indexer (index of the boolean Series and of the indexed object do not match).,ERROR,FILE
2025-03-23 22:58:09,Reading input files,INFO,FILE
2025-03-23 22:58:09,Reading chicago.xlsx,INFO,FILE
2025-03-23 22:58:09,Read 1000 rows from chicago.xlsx,SUCCESS,FILE
2025-03-23 22:58:09,Validating chicago.xlsx-CHICAGO,INFO,FILE
2025-03-23 22:58:09,Validation successful for chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-23 22:58:09,Reading iris.xlsx,INFO,FILE
2025-03-23 22:58:09,Read 149 rows from iris.xlsx,SUCCESS,FILE
2025-03-23 22:58:09,Validating iris.xlsx-IRIS,INFO,FILE
2025-03-23 22:58:09,Validation successful for iris.xlsx-IRIS,SUCCESS,FILE
2025-03-23 22:58:09,Reading titanic.xlsx,INFO,FILE
2025-03-23 22:58:10,Read 891 rows from titanic.xlsx,SUCCESS,FILE
2025-03-23 22:58:10,Validating titanic.xlsx-TITANIC,INFO,FILE
2025-03-23 22:58:10,Validation successful for titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-23 22:58:10,Reading wine.xlsx,INFO,FILE
2025-03-23 22:58:10,Read 1599 rows from wine.xlsx,SUCCESS,FILE
2025-03-23 22:58:10,Validating wine.xlsx-WINE,INFO,FILE
2025-03-23 22:58:10,Error reading files: There are severe errors in the dataset wine.xlsx-WINE. Please check the logs for more details.,ERROR,FILE
2025-03-23 23:00:03,Reading input files,INFO,FILE
2025-03-23 23:00:03,Reading chicago.xlsx,INFO,FILE
2025-03-23 23:00:03,Read 1000 rows from chicago.xlsx,SUCCESS,FILE
2025-03-23 23:00:03,Validating chicago.xlsx-CHICAGO,INFO,FILE
2025-03-23 23:00:03,Validation successful for chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-23 23:00:03,Reading iris.xlsx,INFO,FILE
2025-03-23 23:00:03,Read 149 rows from iris.xlsx,SUCCESS,FILE
2025-03-23 23:00:03,Validating iris.xlsx-IRIS,INFO,FILE
2025-03-23 23:00:03,Validation successful for iris.xlsx-IRIS,SUCCESS,FILE
2025-03-23 23:00:03,Reading titanic.xlsx,INFO,FILE
2025-03-23 23:00:03,Read 891 rows from titanic.xlsx,SUCCESS,FILE
2025-03-23 23:00:03,Validating titanic.xlsx-TITANIC,INFO,FILE
2025-03-23 23:00:03,Validation successful for titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-23 23:00:03,Reading wine.xlsx,INFO,FILE
2025-03-23 23:00:03,Read 1599 rows from wine.xlsx,SUCCESS,FILE
2025-03-23 23:00:03,Validating wine.xlsx-WINE,INFO,FILE
2025-03-23 23:00:03,Validation successful for wine.xlsx-WINE,SUCCESS,FILE
2025-03-23 23:00:03,Finished reading input files,SUCCESS,FILE
2025-03-24 10:05:43,Reading input files,INFO,FILE
2025-03-24 10:05:43,Reading chicago.xlsx,INFO,FILE
2025-03-24 10:05:43,Read 1000 rows from chicago.xlsx,SUCCESS,FILE
2025-03-24 10:05:43,Validating chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:05:43,Validation successful for chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:05:43,Reading iris.xlsx,INFO,FILE
2025-03-24 10:05:43,Read 149 rows from iris.xlsx,SUCCESS,FILE
2025-03-24 10:05:43,Validating iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:05:43,Validation successful for iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:05:43,Reading titanic.xlsx,INFO,FILE
2025-03-24 10:05:43,Read 891 rows from titanic.xlsx,SUCCESS,FILE
2025-03-24 10:05:43,Validating titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:05:43,Validation successful for titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:05:43,Reading wine.xlsx,INFO,FILE
2025-03-24 10:05:43,Read 1599 rows from wine.xlsx,SUCCESS,FILE
2025-03-24 10:05:43,Validating wine.xlsx-WINE,INFO,FILE
2025-03-24 10:05:43,Validation successful for wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:05:43,Finished reading input files,SUCCESS,FILE
2025-03-24 10:13:40,Reading input files,INFO,FILE
2025-03-24 10:13:40,Reading chicago.xlsx,INFO,FILE
2025-03-24 10:13:41,Read 1000 rows from chicago.xlsx,SUCCESS,FILE
2025-03-24 10:13:41,Validating chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:13:41,Validation successful for chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:13:41,Reading iris.xlsx,INFO,FILE
2025-03-24 10:13:41,Read 149 rows from iris.xlsx,SUCCESS,FILE
2025-03-24 10:13:41,Validating iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:13:41,Validation successful for iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:13:41,Reading titanic.xlsx,INFO,FILE
2025-03-24 10:13:41,Read 891 rows from titanic.xlsx,SUCCESS,FILE
2025-03-24 10:13:41,Validating titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:13:41,Validation successful for titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:13:41,Reading wine.xlsx,INFO,FILE
2025-03-24 10:13:41,Read 1599 rows from wine.xlsx,SUCCESS,FILE
2025-03-24 10:13:41,Validating wine.xlsx-WINE,INFO,FILE
2025-03-24 10:13:41,Validation successful for wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:13:41,Finished reading input files,SUCCESS,FILE
2025-03-24 10:16:48,Reading input files,INFO,FILE
2025-03-24 10:16:48,Reading chicago.xlsx,INFO,FILE
2025-03-24 10:16:48,Read 1000 rows from chicago.xlsx,SUCCESS,FILE
