Date,Message,Status,Type
2025-03-23 22:58:10,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-23 22:58:10,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-23 22:58:10,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-23 23:00:03,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-23 23:00:03,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-23 23:00:03,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:05:43,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:05:43,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:05:43,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:13:41,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:13:41,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:13:41,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:16:48,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:16:48,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:16:48,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:17:29,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:17:29,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:17:29,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:20:35,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:20:35,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:20:35,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:21:15,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:21:15,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:21:15,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:15,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:15,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:15,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:29,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:29,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:25:29,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:26:48,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:26:48,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:26:48,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:27:38,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:27:38,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:27:38,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:28:17,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:28:17,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:28:17,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:30:42,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:30:42,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:30:42,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:06,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:06,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:06,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:30,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:30,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 10:34:30,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 11:00:33,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 11:00:33,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 11:00:33,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 11:01:21,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 11:01:21,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 11:01:21,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 11:07:50,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 11:07:50,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 11:07:50,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
2025-03-24 11:17:24,SAFE: Column 'Age' contains NULL values,WARNING,VALIDATION
2025-03-24 11:17:24,SAFE: Column 'Cabin' contains NULL values,WARNING,VALIDATION
2025-03-24 11:17:24,SAFE: Column 'Embarked' contains NULL values,WARNING,VALIDATION
