Date,Message,Status,Type
2025-03-24 10:17:30,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:17:30,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:17:30,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:17:30,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:17:30,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:17:30,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:17:30,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:17:30,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:17:30,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:17:30,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:20:36,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:20:36,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:20:36,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:20:36,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:20:36,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:20:36,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:20:36,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:20:36,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:20:36,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:20:36,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:21:15,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:21:15,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:21:15,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:21:15,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:21:15,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:21:15,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:21:15,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:21:15,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:21:15,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:21:15,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:25:15,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:25:15,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:25:15,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:25:15,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:25:15,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:25:15,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:25:15,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:25:15,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:25:15,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:25:15,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:25:29,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:25:29,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:25:29,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:25:29,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:25:29,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:25:29,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:25:29,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:25:29,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:25:30,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:25:30,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:26:48,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:26:48,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:26:48,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:26:48,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:26:48,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:26:48,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:26:48,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:26:48,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:26:48,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:26:48,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:28:17,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:28:17,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:28:17,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:28:17,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:28:17,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:28:17,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:28:17,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:28:17,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:28:17,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:28:17,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:34:06,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:34:06,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:34:06,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:34:06,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:34:06,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:34:06,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:34:06,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:34:06,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:34:06,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:34:06,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 10:34:31,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 10:34:31,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 10:34:31,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 10:34:31,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 10:34:31,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 10:34:31,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 10:34:31,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 10:34:31,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 10:34:31,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 10:34:31,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
2025-03-24 11:17:24,Writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,INFO,FILE
2025-03-24 11:17:24,Writing chicago.xlsx-CHICAGO,INFO,FILE
2025-03-24 11:17:24,Finished writing chicago.xlsx-CHICAGO,SUCCESS,FILE
2025-03-24 11:17:24,Writing iris.xlsx-IRIS,INFO,FILE
2025-03-24 11:17:24,Finished writing iris.xlsx-IRIS,SUCCESS,FILE
2025-03-24 11:17:24,Writing titanic.xlsx-TITANIC,INFO,FILE
2025-03-24 11:17:24,Finished writing titanic.xlsx-TITANIC,SUCCESS,FILE
2025-03-24 11:17:24,Writing wine.xlsx-WINE,INFO,FILE
2025-03-24 11:17:24,Finished writing wine.xlsx-WINE,SUCCESS,FILE
2025-03-24 11:17:24,Finished writing data to output folder /home/user/Saved/Study/Universities/UCLL/2ndYear/4semester/DataEngineering/Exercises/Session3/output,SUCCESS,FILE
