id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,population,"time_to_arrest,hours",severity_score,day_or_night
13777896,JJ183487,2025-03-16 03:00:00,040XX N KEYSTONE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1722,17,39,16,08B,1148566.0,1926623.0,2025,2025-03-19 15:41:08,41.954593897,-87.729244692,"
,  
(41.954593897, -87.729244692)",430000,,10.0,night
13777641,JJ184219,2025-03-15 00:00:00,027XX W DIVISION ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1423,14,26,24,7,1157862.0,1907865.0,2025,2025-03-22 15:41:01,41.902935697,-87.695583927,"
,  
(41.902935697, -87.695583927)",300000,,6.0,night
13778974,JJ185874,2025-03-15 00:00:00,004XX E 42ND ST,1187,DECEPTIVE PRACTICE,STATE BENEFITS FRAUD,RESIDENCE,False,False,214,2,3,38,11,1179912.0,1877253.0,2025,2025-03-22 15:41:01,41.818456172,-87.61553095,"
,  
(41.818456172, -87.61553095)",70000,,6.0,night
13775812,JJ182037,2025-03-15 00:00:00,054XX S KEDZIE AVE,560,ASSAULT,SIMPLE,DRUG STORE,False,False,923,9,14,63,08A,1155977.0,1868216.0,2025,2025-03-22 15:41:01,41.794172544,-87.70357593,"
,  
(41.794172544, -87.70357593)",180000,,10.0,night
13776582,JJ183005,2025-03-15 00:00:00,057XX N CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,BAR OR TAVERN,False,True,2011,20,40,2,14,1156638.0,1938159.0,2025,2025-03-22 15:41:01,41.986089337,-87.699256769,"
,  
(41.986089337, -87.699256769)",440000,,6.0,night
13780390,JJ187697,2025-03-15 00:00:00,0000X N LOCKWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,1522,15,37,25,26,1141054.0,1899717.0,2025,2025-03-22 15:41:01,41.880902889,-87.75752441,"
,  
(41.880902889, -87.75752441)",410000,,0.0,night
13776699,JJ183144,2025-03-15 00:00:00,101XX S YALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,511,5,9,49,14,1176403.0,1837729.0,2025,2025-03-22 15:41:01,41.710077545,-87.629589269,"
,  
(41.710077545, -87.629589269)",130000,,6.0,night
13778874,JJ185776,2025-03-15 00:00:00,034XX W FLOURNOY ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,False,1133,11,24,27,11,1153512.0,1896818.0,2025,2025-03-22 15:41:01,41.872709251,-87.711856258,"
,  
(41.872709251, -87.711856258)",280000,,6.0,night
13775693,JJ181856,2025-03-15 00:00:00,012XX N LUIS MUNOZ MARIN DR E,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,False,False,1423,14,26,24,15,1157309.0,1908198.0,2025,2025-03-22 15:41:01,41.903860741,-87.697606142,"
,  
(41.903860741, -87.697606142)",300000,,0.0,night
13775671,JJ181869,2025-03-14 23:56:00,023XX S HOMAN AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,False,1024,10,22,30,08B,1154067.0,1888227.0,2025,2025-03-22 15:41:01,41.849123537,-87.710047571,"
,  
(41.849123537, -87.710047571)",260000,183.75027777777777,10.0,night
13775629,JJ181855,2025-03-14 23:51:00,005XX N PINE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,True,1523,15,37,25,26,1139433.0,1903170.0,2025,2025-03-22 15:41:01,41.890408051,-87.763392481,"
,  
(41.890408051, -87.763392481)",410000,,0.0,night
13775648,JJ181894,2025-03-14 23:51:00,014XX S TRUMBULL AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,APARTMENT,False,False,1021,10,24,29,26,1153600.0,1892907.0,2025,2025-03-22 15:41:01,41.861975288,-87.711637158,"
,  
(41.861975288, -87.711637158)",280000,,0.0,night
13775654,JJ181875,2025-03-14 23:47:00,058XX W AUGUSTA BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1511,15,29,25,14,1137274.0,1906073.0,2025,2025-03-22 15:41:01,41.898413328,-87.77125163,"
,  
(41.898413328, -87.77125163)",330000,,6.0,night
13775930,JJ182149,2025-03-14 23:47:00,066XX N OKETO AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1611,16,41,9,5,1126020.0,1943347.0,2025,2025-03-22 15:41:01,42.000892497,-87.811754507,"
,  
(42.000892497, -87.811754507)",450000,,5.0,night
13775703,JJ181848,2025-03-14 23:47:00,078XX S COLES AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,421,4,7,43,08B,1197599.0,1853596.0,2025,2025-03-22 15:41:01,41.753116299,-87.551439474,"
,  
(41.753116299, -87.551439474)",110000,183.90027777777777,10.0,night
13776139,JJ182540,2025-03-14 23:40:00,012XX N DEARBORN ST,560,ASSAULT,SIMPLE,DRUG STORE,False,False,1824,18,2,8,08A,1175711.0,1908536.0,2025,2025-03-22 15:41:01,41.904394115,-87.630001432,"
,  
(41.904394115, -87.630001432)",60000,,10.0,night
13775909,JJ182133,2025-03-14 23:40:00,001XX S CLINTON ST,460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,121,1,34,28,08B,1172750.0,1899670.0,2025,2025-03-22 15:41:01,41.880131389,-87.641140619,"
,  
(41.880131389, -87.641140619)",380000,,10.0,night
13775638,JJ181788,2025-03-14 23:40:00,043XX S LANGLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,221,2,4,38,08B,1181652.0,1876441.0,2025,2025-03-22 15:41:01,41.816187918,-87.609173207,"
,  
(41.816187918, -87.609173207)",80000,184.01694444444445,10.0,night
