Sepal Length,Sepal Width,Petal Length,Petal Width,Species,Sepal Area,Petal Area,Flower Complexity Score,Average_Height,Color,Genus,Species_Name
4.9,3.0,1.4,0.2,Iris-setosa,14.7,0.28,52.5,25.4,Blue,Iris,setosa
4.7,3.2,1.3,0.2,Iris-setosa,15.04,0.26,57.85,25.4,Blue,Iris,setosa
4.6,3.1,1.5,0.2,Iris-setosa,14.26,0.3,47.53,25.4,Blue,Iris,setosa
5.0,3.6,1.4,0.2,Iris-setosa,18.0,0.28,64.29,25.4,Blue,Iris,setosa
5.4,3.9,1.7,0.4,Iris-setosa,21.06,0.68,30.97,25.4,Blue,Iris,setosa
4.6,3.4,1.4,0.3,Iris-setosa,15.64,0.42,37.24,25.4,Blue,Iris,setosa
5.0,3.4,1.5,0.2,Iris-setosa,17.0,0.3,56.67,25.4,Blue,Iris,setosa
4.4,2.9,1.4,0.2,Iris-setosa,12.76,0.28,45.57,25.4,Blue,Iris,setosa
4.9,3.1,1.5,0.1,Iris-setosa,15.19,0.15,101.27,25.4,Blue,Iris,setosa
5.4,3.7,1.5,0.2,Iris-setosa,19.98,0.3,66.6,25.4,Blue,Iris,setosa
4.8,3.4,1.6,0.2,Iris-setosa,16.32,0.32,51.0,25.4,Blue,Iris,setosa
4.8,3.0,1.4,0.1,Iris-setosa,14.4,0.14,102.86,25.4,Blue,Iris,setosa
4.3,3.0,1.1,0.1,Iris-setosa,12.9,0.11,117.27,25.4,Blue,Iris,setosa
5.8,4.0,1.2,0.2,Iris-setosa,23.2,0.24,96.67,25.4,Blue,Iris,setosa
5.7,4.4,1.5,0.4,Iris-setosa,25.08,0.6,41.8,25.4,Blue,Iris,setosa
5.4,3.9,1.3,0.4,Iris-setosa,21.06,0.52,40.5,25.4,Blue,Iris,setosa
5.1,3.5,1.4,0.3,Iris-setosa,17.85,0.42,42.5,25.4,Blue,Iris,setosa
5.7,3.8,1.7,0.3,Iris-setosa,21.66,0.51,42.47,25.4,Blue,Iris,setosa
5.1,3.8,1.5,0.3,Iris-setosa,19.38,0.45,43.07,25.4,Blue,Iris,setosa
5.4,3.4,1.7,0.2,Iris-setosa,18.36,0.34,54.0,25.4,Blue,Iris,setosa
5.1,3.7,1.5,0.4,Iris-setosa,18.87,0.6,31.45,25.4,Blue,Iris,setosa
4.6,3.6,1.0,0.2,Iris-setosa,16.56,0.2,82.8,25.4,Blue,Iris,setosa
5.1,3.3,1.7,0.5,Iris-setosa,16.83,0.85,19.8,25.4,Blue,Iris,setosa
4.8,3.4,1.9,0.2,Iris-setosa,16.32,0.38,42.95,25.4,Blue,Iris,setosa
5.0,3.0,1.6,0.2,Iris-setosa,15.0,0.32,46.88,25.4,Blue,Iris,setosa
5.0,3.4,1.6,0.4,Iris-setosa,17.0,0.64,26.56,25.4,Blue,Iris,setosa
5.2,3.5,1.5,0.2,Iris-setosa,18.2,0.3,60.67,25.4,Blue,Iris,setosa
5.2,3.4,1.4,0.2,Iris-setosa,17.68,0.28,63.14,25.4,Blue,Iris,setosa
4.7,3.2,1.6,0.2,Iris-setosa,15.04,0.32,47.0,25.4,Blue,Iris,setosa
4.8,3.1,1.6,0.2,Iris-setosa,14.88,0.32,46.5,25.4,Blue,Iris,setosa
5.4,3.4,1.5,0.4,Iris-setosa,18.36,0.6,30.6,25.4,Blue,Iris,setosa
5.2,4.1,1.5,0.1,Iris-setosa,21.32,0.15,142.13,25.4,Blue,Iris,setosa
5.5,4.2,1.4,0.2,Iris-setosa,23.1,0.28,82.5,25.4,Blue,Iris,setosa
5.0,3.2,1.2,0.2,Iris-setosa,16.0,0.24,66.67,25.4,Blue,Iris,setosa
5.5,3.5,1.3,0.2,Iris-setosa,19.25,0.26,74.04,25.4,Blue,Iris,setosa
4.4,3.0,1.3,0.2,Iris-setosa,13.2,0.26,50.77,25.4,Blue,Iris,setosa
