fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol per liter,total acidity,acid ratio,normalized residual sugar,sweetness level,WQI
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,Low,9.37932,Medium,0.0,1.9041892162758067,Dry,18.272891370811752
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,Low,9.768640000000001,Medium,0.0,2.6083467094703052,Dry,15.869256730324693
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,Low,9.7706,Medium,0.0044444444444444444,2.3069207622868606,Dry,20.53178068293332
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,Medium,9.7804,High,0.05090909090909091,1.9038076152304608,Dry,19.577181086859692
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,Low,9.37932,Medium,0.0,1.9041892162758067,Dry,18.272891370811752
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,Low,9.37932,Medium,0.0,1.803968731208659,Dry,18.21715366689039
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,Low,9.36616,Medium,0.0075,1.6057808109193097,Dry,22.247820121951218
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,Medium,9.946,Medium,0.0,1.2065151819827065,Dry,9.825317486338799
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,Medium,9.4696,Medium,0.0025,2.0064205457463884,Dry,12.608892210439572
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,Low,10.4769,Medium,0.045,6.11344958909601,Medium,32.53624894865402
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,Low,9.162279999999999,Medium,0.011428571428571429,1.807410382568531,Dry,24.643153314258466
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,Low,10.4769,Medium,0.045,6.11344958909601,Medium,32.53624894865402
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,Low,9.84357,Medium,0.0,1.6091722820074426,Dry,22.080452695775644
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,Low,9.07634,Medium,0.03625,1.604170844194907,Dry,18.843813353090805
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,Low,9.18712,Medium,0.018,3.8053274584418184,Dry,16.2512248353991
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,Low,9.18712,Medium,0.019,3.905467654716603,Dry,16.81051971689071
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,Medium,10.46745,Medium,0.06222222222222223,1.8055973517905508,Dry,17.19603968253968
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,Low,9.270240000000001,Medium,0.031111111111111114,1.7054574638844302,Dry,20.795237518724992
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,Low,8.9766,Medium,0.01,4.411469821535994,Medium,26.83003266583968
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,Medium,9.171479999999999,Medium,0.06375,1.8055973517905508,Dry,19.66486218909472
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,Medium,9.36992,Medium,0.05333333333333333,1.8057784911717496,Dry,12.793434715663789
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,Low,9.68254,Medium,0.03875,2.304147465437788,Dry,18.213925134269985
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,Low,9.4677,Medium,0.02625,1.6054585591009431,Dry,21.134107346693906
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,Low,9.36992,Medium,0.012222222222222223,2.3073836276083464,Dry,39.57077036047381
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,Medium,9.66896,Medium,0.02,2.407704654895666,Dry,12.458928770215797
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,Low,9.25815,Medium,0.022857142857142857,1.4063284781516825,Dry,13.66827839811897
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,Low,9.463899999999999,Medium,0.03,1.8068660911463563,Dry,16.422983250353088
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,Low,9.4677,Medium,0.02625,1.6054585591009431,Dry,21.134107346693906
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,Low,9.37368,Medium,0.0,1.9053349378259126,Dry,15.391440453095578
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,Medium,9.76472,Medium,0.0,2.007226013649137,Dry,12.624551761609537
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,Low,10.05758,Medium,0.01,2.4101225145611567,Dry,27.011817162112717
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,Medium,10.56396,Medium,0.0,2.5085289985952235,Dry,11.321165078205347
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,Low,9.766680000000001,Medium,0.013333333333333332,2.3078466787076057,Dry,40.02322969367656
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,Medium,9.39342,Medium,0.015,10.707495246672671,Medium,13.158475587168873
